year,month,areaname,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary
2012,January,Boundary County,No,4587,3938,649,14.1,No
2012,January,Boundary County,Yes,4608,4073,534,11.5,No
2012,January,Butte County,No,1700,1567,133,7.8,No
2012,January,Butte County,Yes,1732,1611,120,6.9,No
2012,January,Camas County,No,598,530,68,11.3,No
2012,January,Camas County,Yes,588,532,56,9.5,No
2012,January,Canyon County,No,86454,76999,9455,10.9,No
2012,January,Canyon County,Yes,85434,77228,8206,9.6,No
2005,January,Caribou County,No,3205,2948,257,8,No
2005,January,Caribou County,Yes,3241,3053,188,5.8,No
2006,January,Caribou County,No,3262,3076,186,5.7,No
2006,January,Caribou County,Yes,3316,3182,133,4,No
2007,January,Caribou County,No,3711,3560,151,4,No
2007,January,Caribou County,Yes,3785,3686,99,2.6,No
2008,January,Caribou County,No,3805,3660,145,3.8,No
2008,January,Caribou County,Yes,3887,3786,101,2.6,No
2009,January,Caribou County,No,3450,3245,205,5.9,No
2009,January,Caribou County,Yes,3520,3365,154,4.3,No
2010,January,Caribou County,No,3776,3386,390,10.3,No
2010,January,Caribou County,Yes,3814,3509,305,8,No
2010,January,Caribou County,Yes,3779,3493,286,7.5,No
2011,January,Caribou County,No,3797,3435,362,9.5,No
2011,January,Caribou County,Yes,3814,3553,261,6.8,No
2005,January,Cassia County,No,9483,8916,567,5.9,No
2005,January,Cassia County,Yes,9850,9387,463,4.7,No
2006,January,Cassia County,No,9973,9475,498,4.9,No
2006,January,Cassia County,Yes,10373,9976,396,3.8,No
2007,January,Cassia County,No,10106,9697,409,4,No
2007,January,Cassia County,Yes,10515,10214,300,2.8,No
2008,January,Cassia County,No,10480,10046,434,4.1,No
2008,January,Cassia County,Yes,10908,10563,344,3.1,No
2009,January,Cassia County,No,9870,9388,482,4.8,No
2009,January,Cassia County,Yes,10309,9896,412,4,No
2010,January,Cassia County,No,10724,9908,816,7.6,No
2010,January,Cassia County,Yes,11159,10434,725,6.5,No
2010,January,Cassia County,Yes,11115,10363,752,6.7,No
2011,January,Cassia County,No,10948,10109,839,7.6,No
2011,January,Cassia County,Yes,11313,10626,687,6,No
2005,January,Clark County,No,479,447,32,6.6,No
2005,January,Clark County,Yes,514,491,23,4.4,No
2006,January,Clark County,No,493,467,26,5.2,No
2006,January,Clark County,Yes,524,506,18,3.4,No
2007,January,Clark County,No,506,488,18,3.5,No
2007,January,Clark County,Yes,531,519,11,2.2,No
2008,January,Clark County,No,567,546,21,3.7,No
2008,January,Clark County,Yes,602,587,14,2.3,No
2009,January,Clark County,No,517,485,32,6.1,No
2009,January,Clark County,Yes,556,532,23,4.1,No
2010,January,Clark County,No,532,471,61,11.4,No
2010,January,Clark County,Yes,558,513,45,8.2,No
2010,January,Clark County,Yes,560,512,47,8.4,No
2011,January,Clark County,No,529,468,61,11.5,No
2011,January,Clark County,Yes,551,508,42,7.6,No
2005,January,Clearwater County,No,3240,2913,327,10,No
2005,January,Clearwater County,Yes,3318,3027,290,8.7,No
2006,January,Clearwater County,No,3286,2941,345,10.4,No
2006,January,Clearwater County,Yes,3336,3040,296,8.8,No
2007,January,Clearwater County,No,3199,2946,253,7.9,No
2007,January,Clearwater County,Yes,3239,3035,204,6.3,No
2008,January,Clearwater County,No,3149,2883,266,8.4,No
2008,January,Clearwater County,Yes,3190,2961,229,7.1,No
2009,January,Clearwater County,No,3321,2876,445,13.3,No
2009,January,Clearwater County,Yes,3386,2972,413,12.2,No
2010,January,Clearwater County,No,3327,2786,541,16.2,No
2010,January,Clearwater County,Yes,3413,2893,520,15.2,No
2010,January,Clearwater County,Yes,3389,2881,508,14.9,No
2011,January,Clearwater County,No,3251,2734,517,15.9,No
2011,January,Clearwater County,Yes,3292,2834,458,13.9,No
2012,January,Caribou County,No,3891,3565,326,8.3,No
2012,January,Caribou County,Yes,3952,3688,264,6.6,No
2012,January,Cassia County,No,11144,10362,782,7,No
2012,January,Cassia County,Yes,11612,10892,720,6.2,No
2012,January,Clark County,No,511,463,48,9.3,No
2012,January,Clark County,Yes,540,503,37,6.9,No
2012,January,Clearwater County,No,3244,2779,465,14.3,No
2012,January,Clearwater County,Yes,3344,2880,463,13.8,No
2005,January,Custer County,No,2212,2026,186,8.4,No
2005,January,Custer County,Yes,2504,2379,125,4.9,No
2006,January,Custer County,No,2309,2148,161,6.9,No
2006,January,Custer County,Yes,2615,2511,104,3.9,No
2007,January,Custer County,No,2059,1940,119,5.7,No
2007,January,Custer County,Yes,2331,2262,69,2.9,No
2008,January,Custer County,No,2212,2078,134,6,No
2008,January,Custer County,Yes,2502,2418,84,3.3,No
2009,January,Custer County,No,2406,2218,188,7.8,No
2009,January,Custer County,Yes,2717,2586,131,4.8,No
2010,January,Custer County,No,2249,2018,231,10.2,No
2010,January,Custer County,Yes,2515,2347,167,6.6,No
2010,January,Custer County,Yes,2559,2377,182,7.1,No
2011,January,Custer County,No,2274,2031,243,10.6,No
2011,January,Custer County,Yes,2521,2358,162,6.4,No
2005,January,Elmore County,No,10374,9743,631,6,No
2005,January,Elmore County,Yes,10600,10111,489,4.6,No
2006,January,Elmore County,No,10558,10027,531,5,No
2006,January,Elmore County,Yes,10801,10400,401,3.7,No
2007,January,Elmore County,No,10855,10359,496,4.5,No
2007,January,Elmore County,Yes,11085,10739,345,3.1,No
2008,January,Elmore County,No,11264,10635,629,5.5,No
2008,January,Elmore County,Yes,11475,10997,477,4.1,No
2009,January,Elmore County,No,11121,10224,897,8,No
2009,January,Elmore County,Yes,11340,10598,742,6.5,No
2010,January,Elmore County,No,11108,10048,1060,9.5,No
2010,January,Elmore County,Yes,11314,10408,906,8,No
2010,January,Elmore County,Yes,11402,10429,972,8.5,No
2011,January,Elmore County,No,11003,9893,1110,10,No
2011,January,Elmore County,Yes,11103,10229,874,7.8,No
2005,January,Franklin County,No,6291,6077,214,3.4,No
2005,January,Franklin County,Yes,6113,5928,184,3,No
2006,January,Franklin County,No,6262,6085,177,2.8,No
2006,January,Franklin County,Yes,6097,5954,142,2.3,No
2007,January,Franklin County,No,5781,5616,165,2.8,No
2007,January,Franklin County,Yes,5620,5502,117,2,No
2008,January,Franklin County,No,5971,5778,193,3.2,No
2008,January,Franklin County,Yes,5805,5660,145,2.5,No
2009,January,Franklin County,No,5934,5640,294,4.9,No
2009,January,Franklin County,Yes,5790,5543,246,4.2,No
2010,January,Franklin County,No,6040,5683,357,5.9,No
2010,January,Franklin County,Yes,5905,5588,316,5.3,No
2010,January,Franklin County,Yes,6051,5727,324,5.3,No
2011,January,Franklin County,No,6219,5815,404,6.4,No
2011,January,Franklin County,Yes,6038,5708,330,5.4,No
2005,January,Fremont County,No,5980,5649,331,5.5,No
2005,January,Fremont County,Yes,6092,5867,224,3.6,No
2006,January,Fremont County,No,5875,5554,321,5.4,No
2006,January,Fremont County,Yes,5992,5784,208,3.4,No
2007,January,Fremont County,No,5613,5315,298,5.3,No
2007,January,Fremont County,Yes,5747,5570,176,3,No
2008,January,Fremont County,No,5652,5318,334,5.9,No
2008,January,Fremont County,Yes,5808,5592,215,3.7,No
2009,January,Fremont County,No,5488,5044,444,8,No
2009,January,Fremont County,Yes,5675,5344,331,5.8,No
2010,January,Fremont County,No,5885,5255,630,10.7,No
2010,January,Fremont County,Yes,6081,5574,506,8.3,No
2010,January,Fremont County,Yes,6021,5470,551,9.1,No
2011,January,Fremont County,No,5981,5352,629,10.5,No
2011,January,Fremont County,Yes,6133,5667,466,7.6,No
2012,January,Custer County,No,2368,2116,252,10.6,No
2012,January,Custer County,Yes,2646,2457,189,7.1,No
2012,January,Elmore County,No,10871,9844,1027,9.4,No
2012,January,Elmore County,Yes,11088,10178,910,8.2,No
2012,January,Franklin County,No,6202,5859,343,5.5,No
2012,January,Franklin County,Yes,6066,5751,315,5.1,No
2012,January,Fremont County,No,6292,5687,605,9.6,No
2012,January,Fremont County,Yes,6526,6022,504,7.7,No
2005,January,Gem County,No,7084,6612,472,6.6,No
2005,January,Gem County,Yes,7087,6735,352,4.9,No
2006,January,Gem County,No,7154,6773,381,5.3,No
2006,January,Gem County,Yes,7164,6890,274,3.8,No
2007,January,Gem County,No,7175,6804,371,5.1,No
2007,January,Gem County,Yes,7164,6918,246,3.4,No
2008,January,Gem County,No,7063,6634,429,6,No
2008,January,Gem County,Yes,7038,6725,312,4.4,No
2009,January,Gem County,No,7061,6292,769,10.8,No
2009,January,Gem County,Yes,7003,6388,615,8.7,No
2010,January,Gem County,No,7078,6115,963,13.6,No
2010,January,Gem County,Yes,6997,6197,799,11.4,No
2010,January,Gem County,Yes,6995,6221,774,11,No
2011,January,Gem County,No,7143,6212,931,13,No
2011,January,Gem County,Yes,6997,6284,712,10.1,No
2005,January,Gooding County,No,7796,7467,329,4.2,No
2005,January,Gooding County,Yes,7846,7607,239,3,No
2006,January,Gooding County,No,8125,7819,306,3.7,No
2006,January,Gooding County,Yes,8197,7979,217,2.6,No
2007,January,Gooding County,No,8722,8441,281,3.2,No
2007,January,Gooding County,Yes,8808,8624,183,2,No
2008,January,Gooding County,No,8757,8464,293,3.3,No
2008,January,Gooding County,Yes,8836,8628,208,2.3,No
2009,January,Gooding County,No,8528,8049,479,5.6,No
2009,January,Gooding County,Yes,8593,8222,370,4.3,No
2010,January,Gooding County,No,8918,8225,693,7.7,No
2010,January,Gooding County,Yes,8934,8381,552,6.1,No
2010,January,Gooding County,Yes,9000,8383,616,6.8,No
2011,January,Gooding County,No,8886,8160,726,8.1,No
2011,January,Gooding County,Yes,8833,8299,533,6,No
2005,January,Idaho County,No,6675,6081,594,8.8,No
2005,January,Idaho County,Yes,6964,6499,465,6.6,No
2006,January,Idaho County,No,6757,6234,523,7.7,No
2006,January,Idaho County,Yes,7045,6650,394,5.6,No
2007,January,Idaho County,No,6793,6333,460,6.7,No
2007,January,Idaho County,Yes,7068,6750,318,4.5,No
2008,January,Idaho County,No,7038,6498,540,7.6,No
2008,January,Idaho County,Yes,7305,6911,393,5.3,No
2009,January,Idaho County,No,6998,6183,815,11.6,No
2009,January,Idaho County,Yes,7258,6595,663,9.1,No
2010,January,Idaho County,No,7014,6081,933,13.3,No
2010,January,Idaho County,Yes,7269,6482,786,10.8,No
2010,January,Idaho County,Yes,7397,6589,808,10.9,No
2011,January,Idaho County,No,7181,6158,1023,14.2,No
2011,January,Idaho County,Yes,7347,6553,794,10.8,No
2005,January,Jefferson County,No,10456,9983,473,4.5,No
2005,January,Jefferson County,Yes,10506,10163,343,3.2,No
2006,January,Jefferson County,No,10821,10370,451,4.1,No
2006,January,Jefferson County,Yes,10875,10557,317,2.9,No
2007,January,Jefferson County,No,10874,10471,403,3.7,No
2007,January,Jefferson County,Yes,10930,10664,265,2.4,No
2008,January,Jefferson County,No,11213,10818,395,3.5,No
2008,January,Jefferson County,Yes,11272,10994,277,2.4,No
2009,January,Jefferson County,No,11326,10616,710,6.2,No
2009,January,Jefferson County,Yes,11383,10815,567,4.9,No
2010,January,Jefferson County,No,11769,10825,944,8,No
2010,January,Jefferson County,Yes,11819,11018,801,6.7,No
2010,January,Jefferson County,Yes,11941,11073,868,7.2,No
2011,January,Jefferson County,No,11954,10924,1030,8.6,No
2011,January,Jefferson County,Yes,11904,11098,805,6.7,No
2012,January,Gem County,No,7137,6308,829,11.6,No
2012,January,Gem County,Yes,7095,6381,713,10,No
2012,January,Gooding County,No,8902,8284,618,6.9,No
2012,January,Gooding County,Yes,8937,8425,511,5.7,No
2012,January,Idaho County,No,7274,6325,949,13,No
2012,January,Idaho County,Yes,7559,6730,828,10.9,No
2012,January,Jefferson County,No,12151,11213,938,7.7,No
2012,January,Jefferson County,Yes,12217,11392,824,6.7,No
2005,January,Jerome County,No,9426,8964,462,4.9,No
2005,January,Jerome County,Yes,9559,9213,346,3.6,No
2006,January,Jerome County,No,9866,9447,419,4.2,No
2006,January,Jerome County,Yes,10001,9697,304,3,No
2007,January,Jerome County,No,9634,9261,373,3.8,No
2007,January,Jerome County,Yes,9749,9499,249,2.5,No
2008,January,Jerome County,No,9961,9534,427,4.2,No
2008,January,Jerome County,Yes,10061,9758,303,3,No
2009,January,Jerome County,No,10401,9726,675,6.4,No
2009,January,Jerome County,Yes,10509,9977,532,5,No
2010,January,Jerome County,No,10478,9509,969,9.2,No
2010,January,Jerome County,Yes,10543,9742,800,7.5,No
2010,January,Jerome County,Yes,10582,9723,859,8.1,No
2011,January,Jerome County,No,10723,9684,1039,9.6,No
2011,January,Jerome County,Yes,10695,9903,791,7.3,No
2005,January,Kootenai County,No,63959,59739,4220,6.5,No
2005,January,Kootenai County,Yes,65043,61976,3066,4.7,No
2006,January,Kootenai County,No,66474,63069,3405,5.1,No
2006,January,Kootenai County,Yes,67832,65436,2395,3.5,No
2007,January,Kootenai County,No,67857,64651,3206,4.7,No
2007,January,Kootenai County,Yes,69191,67115,2076,3,No
