year,month,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude,id
2011,August,Jefferson County,No,11505,10721,784,6.8,No,16051,-112.24937,43.76409,2011-August-Jefferson County
2011,August,Jerome County,Yes,10455,9636,819,7.8,No,16053,-114.32879,42.71282,2011-August-Jerome County
2011,August,Jerome County,No,10512,9753,759,7.2,No,16053,-114.32879,42.71282,2011-August-Jerome County
2011,August,Kootenai County,Yes,69743,61579,8164,11.7,No,16055,-116.62221,47.75684,2011-August-Kootenai County
2011,August,Kootenai County,No,70284,63339,6945,9.8,No,16055,-116.62221,47.75684,2011-August-Kootenai County
2011,August,Latah County,Yes,17401,15956,1445,8.3,No,16057,-116.67642,46.73604,2011-August-Latah County
2011,August,Latah County,No,16843,15567,1276,7.5,No,16057,-116.67642,46.73604,2011-August-Latah County
2011,August,Lemhi County,Yes,3640,3228,411,11.3,No,16059,-113.92306,45.03646,2011-August-Lemhi County
2011,August,Lemhi County,No,3898,3558,340,8.7,No,16059,-113.92306,45.03646,2011-August-Lemhi County
2011,August,Lewis County,Yes,1754,1645,109,6.2,No,16061,-116.40541,46.26648,2011-August-Lewis County
2011,August,Lewis County,No,1847,1740,107,5.7,No,16061,-116.40541,46.26648,2011-August-Lewis County
2011,August,Lincoln County,Yes,2589,2227,361,13.9,No,16063,-114.16944,43.04964,2011-August-Lincoln County
2011,August,Lincoln County,No,2637,2345,292,11,No,16063,-114.16944,43.04964,2011-August-Lincoln County
2011,August,Madison County,Yes,16406,14987,1419,8.6,No,16065,-111.55837,43.75083,2011-August-Madison County
2011,August,Madison County,No,15628,14343,1285,8.2,No,16065,-111.55837,43.75083,2011-August-Madison County
2011,August,Minidoka County,No,10619,9860,759,7.1,No,16067,-113.58081,42.841,2011-August-Minidoka County
2011,August,Minidoka County,Yes,10377,9644,732,7,No,16067,-113.58081,42.841,2011-August-Minidoka County
2011,August,Nez Perce County,Yes,18490,17133,1356,7.3,No,16069,-116.62288,46.41818,2011-August-Nez Perce County
2011,August,Nez Perce County,No,18254,16975,1279,7,No,16069,-116.62288,46.41818,2011-August-Nez Perce County
2011,August,Oneida County,Yes,2305,2176,128,5.5,No,16071,-112.52451,42.20598,2011-August-Oneida County
2011,August,Oneida County,No,2296,2178,118,5.1,No,16071,-112.52451,42.20598,2011-August-Oneida County
2011,August,Owyhee County,Yes,4393,4162,231,5.2,No,16073,-116.06229,42.68274,2011-August-Owyhee County
2011,August,Owyhee County,No,4413,4184,229,5.1,No,16073,-116.06229,42.68274,2011-August-Owyhee County
2011,August,Payette County,No,10952,9900,1052,9.6,No,16075,-116.72054,44.02052,2011-August-Payette County
2011,August,Payette County,Yes,10994,9945,1048,9.5,No,16075,-116.72054,44.02052,2011-August-Payette County
2011,August,Pocatello,No,27185,24996,2189,8,No,,,,2011-August-Pocatello
2011,August,Pocatello,Yes,27862,25655,2206,7.9,No,,,,2011-August-Pocatello
2011,August,Power County,No,3594,3150,444,12.3,No,16077,-112.76845,42.75285,2011-August-Power County
2011,August,Power County,Yes,3406,3175,231,6.8,No,16077,-112.76845,42.75285,2011-August-Power County
2011,August,Shoshone County,Yes,6061,5093,967,15.9,No,16079,-115.91047,47.17469,2011-August-Shoshone County
2011,August,Shoshone County,No,6054,5251,803,13.2,No,16079,-115.91047,47.17469,2011-August-Shoshone County
2011,August,Teton County,Yes,5254,4836,418,7.9,No,16081,-111.19176,43.78458,2011-August-Teton County
2011,August,Teton County,No,5866,5530,336,5.7,No,16081,-111.19176,43.78458,2011-August-Teton County
2011,August,Twin Falls,No,22240,20387,1853,8.3,No,,,,2011-August-Twin Falls
2011,August,Twin Falls,Yes,21917,20232,1685,7.6,No,,,,2011-August-Twin Falls
